Date,Open,High,Low,Close,Adj Close,Volume
2016-11-21,115.720001,115.790001,112.349998,112.610001,112.610001,32719900
2016-11-28,113.230003,113.839996,110.629997,112.139999,112.139999,41673000
2016-12-05,111.150002,112.500000,110.190002,110.400002,110.400002,37108900
2016-12-12,110.589996,111.110001,107.000000,108.050003,108.050003,52082200
2016-12-19,108.599998,108.879997,107.290001,107.930000,107.930000,27803900
2016-12-26,108.610001,110.620003,108.239998,109.610001,109.610001,25214300
2017-01-02,109.620003,112.940002,109.370003,111.750000,111.750000,29724400
2017-01-09,112.389999,114.930000,112.169998,114.209999,114.209999,37405500
2017-01-16,115.889999,115.959999,113.940002,115.050003,115.050003,34339000
2017-01-23,115.510002,116.169998,112.809998,113.489998,113.489998,30966500
2017-01-30,113.610001,116.570000,113.540001,116.129997,116.129997,41687600
2017-02-06,117.070000,118.589996,116.669998,117.599998,117.599998,44051500
2017-02-13,116.730003,118.400002,116.150002,117.680000,117.680000,35087900
2017-02-20,117.040001,119.879997,116.769997,119.699997,119.699997,29556400
2017-02-27,119.730003,120.400002,116.440002,117.510002,117.510002,48323000
2017-03-06,117.349998,117.349998,114.129997,114.720001,114.720001,33691100
2017-03-13,114.629997,117.290001,114.019997,116.989998,116.989998,38638300
2017-03-20,117.309998,119.250000,117.209999,118.860001,118.860001,33936200
2017-03-27,119.930000,120.080002,118.320000,118.720001,118.720001,35958800
2017-04-03,118.690002,120.669998,118.400002,119.459999,119.459999,35883600
2017-04-10,119.040001,122.650002,118.849998,122.599998,122.599998,36474100
2017-04-17,122.550003,123.070000,121.279999,122.309998,122.309998,55241300
2017-04-24,120.769997,121.510002,119.870003,120.769997,120.769997,48558400
2017-05-01,120.209999,120.750000,116.629997,117.010002,117.010002,44577800
2017-05-08,117.029999,117.160004,115.559998,116.830002,116.830002,28239100
2017-05-15,117.519997,120.019997,116.989998,119.400002,119.400002,41027700
2017-05-22,119.629997,120.790001,118.919998,120.540001,120.540001,31359600
2017-05-29,120.239998,121.709999,119.949997,121.610001,121.610001,30838800
2017-06-05,121.910004,123.309998,120.400002,120.540001,120.540001,39041400
2017-06-12,120.330002,121.879997,119.129997,119.339996,119.339996,43071200
2017-06-19,118.739998,119.660004,118.070000,119.430000,119.430000,31198600
2017-06-26,118.290001,119.059998,117.910004,118.019997,118.019997,31550600
2017-07-03,116.540001,116.849998,114.800003,115.279999,115.279999,34965300
2017-07-10,115.019997,117.250000,114.830002,116.769997,116.769997,26200300
2017-07-17,117.419998,119.389999,117.230003,119.260002,119.260002,31242000
2017-07-24,119.519997,120.860001,118.550003,120.690002,120.690002,32164000
2017-07-31,120.500000,121.139999,119.220001,119.650002,119.650002,30175400
2017-08-07,119.430000,122.830002,118.970001,122.790001,122.790001,37260900
2017-08-14,121.980003,123.540001,120.580002,122.300003,122.300003,42871900
2017-08-21,122.540001,123.019997,121.290001,122.739998,122.739998,33673600
2017-08-28,123.330002,126.169998,123.330002,126.059998,126.059998,51111100
2017-09-04,126.650002,128.320007,126.550003,127.970001,127.970001,41112100
2017-09-11,126.739998,126.940002,125.410004,125.529999,125.529999,39672400
2017-09-18,124.709999,125.059998,122.489998,123.239998,123.239998,39871500
2017-09-25,122.779999,124.660004,121.550003,121.580002,121.580002,42010900
2017-10-02,121.169998,121.339996,119.779999,121.089996,121.089996,38178000
2017-10-09,121.639999,123.860001,121.550003,123.820000,123.820000,30086900
2017-10-16,123.820000,123.970001,121.389999,121.610001,121.610001,32958100
2017-10-23,120.980003,121.900002,120.209999,120.900002,120.900002,27569200
2017-10-30,120.379997,121.959999,120.180000,120.620003,120.620003,25377600
2017-11-06,120.720001,122.410004,120.680000,121.129997,121.129997,29873500
2017-11-13,121.430000,123.169998,120.769997,122.860001,122.860001,30833600
2017-11-20,122.300003,122.949997,121.040001,122.320000,122.320000,20304700
2017-11-27,123.260002,123.330002,120.639999,121.589996,121.589996,37719600
2017-12-04,121.150002,121.199997,118.099998,118.480003,118.480003,41759400
2017-12-11,118.370003,119.500000,117.400002,119.180000,119.180000,37154600
2017-12-18,119.629997,121.139999,119.529999,120.940002,120.940002,25820700
2017-12-25,121.550003,124.089996,121.510002,123.650002,123.650002,28041900
2018-01-01,124.660004,125.849998,124.099998,125.330002,125.330002,32736400
2018-01-08,125.199997,127.129997,124.230003,126.959999,126.959999,42782900
2018-01-15,126.599998,127.220001,125.800003,126.419998,126.419998,33277500
2018-01-22,126.510002,129.509995,126.279999,128.070007,128.070007,45959900
2018-01-29,127.580002,128.149994,125.959999,126.389999,126.389999,57755200
2018-02-05,126.820000,127.309998,124.389999,124.769997,124.769997,61311600
2018-02-12,125.190002,128.699997,125.110001,127.959999,127.959999,43956000
2018-02-19,127.279999,127.400002,125.440002,126.139999,126.139999,28643500
2018-02-26,126.449997,126.620003,123.580002,125.389999,125.389999,37715900
2018-03-05,125.349998,126.959999,124.779999,125.540001,125.540001,28155500
2018-03-12,125.040001,125.989998,124.209999,124.599998,124.599998,24991900
2018-03-19,124.570000,128.059998,123.959999,127.610001,127.610001,37591400
2018-03-26,128.050003,128.580002,125.309998,125.790001,125.790001,29707400
2018-04-02,126.650002,127.540001,125.430000,126.389999,126.389999,36447300
2018-04-09,126.449997,129.470001,126.230003,127.449997,127.449997,36769900
2018-04-16,127.739998,128.539993,126.550003,126.629997,126.629997,34678900
